County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Fayette,03,026,03026,030262030261002,Vandalia CUSD 203,Vandalia Junior High School,443,0,0,0,1,314,3,0,22,2,0,314,27,0.9208211143695014,03026
Fayette,03,026,03026,030262040260002,Ramsey CUSD 204,Ramsey High School,143,0,2,0,0.986013986013986,139,2,0,2,0,0,139,4,0.972027972027972,03026
Fayette,03,026,03026,030262040262001,Ramsey CUSD 204,Ramsey Elem School,333,0,0,0,1,107,1,0,2,0,0,107,3,0.9727272727272728,03026
Boone,04,004,04004,04004001X060000,Nonpublic School,Immanuel Lutheran School,262,0,0,0,1,65,0,0,0,0,0,65,0,1,04004
Boone,04,004,04004,04004002X100000,Nonpublic School,St James School,126,0,0,0,1,45,0,0,0,0,0,45,0,1,04004
Boone,04,004,04004,040041000260001,Belvidere CUSD 100,Belvidere High School,1280,8,15,23,0.98203125,1271,5,3,0,0,1,1271,9,0.99296875,04004
Boone,04,004,04004,040041000260002,Belvidere CUSD 100,Belvidere North High Sch,1445,18,19,25,0.9743944636678201,1433,8,0,0,1,3,1433,12,0.9916955017301038,04004
Boone,04,004,04004,040041000261002,Belvidere CUSD 100,Belvidere South Middle School,840,11,1,10,0.9857142857142858,828,2,1,0,0,9,828,12,0.9857142857142858,04004
Boone,04,004,04004,040041000261003,Belvidere CUSD 100,Belvidere Central Middle School,1052,19,1,15,0.9809885931558935,1026,8,0,3,1,14,1026,26,0.9752851711026616,04004
Boone,04,004,04004,040041000262008,Belvidere CUSD 100,Washington Academy,868,0,1,1,0.9988479262672811,79,0,0,0,0,0,79,0,1,04004
Boone,04,004,04004,040042000260003,North Boone CUSD 200,North Boone High School,531,0,0,0,1,525,6,0,0,0,0,525,6,0.9887005649717514,04004
Boone,04,004,04004,040042000261001,North Boone CUSD 200,North Boone Middle School,253,0,0,0,1,249,4,0,0,0,0,249,4,0.9841897233201581,04004
Boone,04,004,04004,040042000262005,North Boone CUSD 200,North Boone Upper Elem Sch,218,0,1,1,0.9954128440366973,103,0,0,5,0,0,103,5,0.9537037037037037,04004
Winnebago,04,101,04101,04101001Z020000,Nonpublic School,Berean Baptist Christian School,223,2,0,0,0.9910313901345292,94,2,0,0,0,1,94,3,0.9690721649484536,04101
Winnebago,04,101,04101,04101002Y100000,Nonpublic School,Boylan Central Catholic High Sch,1006,0,0,0,1,1001,5,0,0,0,0,1001,5,0.9950298210735586,04101
Winnebago,04,101,04101,04101003X100000,Nonpublic School,Holy Family School,435,0,0,0,1,141,0,1,0,0,0,141,1,0.9929577464788732,04101
Winnebago,04,101,04101,04101005Z010000,Nonpublic School,Keith Country Day School,296,13,0,0,0.9560810810810811,149,2,2,4,0,10,149,18,0.8922155688622755,04101
Winnebago,04,101,04101,04101007X100000,Nonpublic School,St Bernadette,208,0,0,0,1,72,0,0,0,0,0,72,0,1,04101
Winnebago,04,101,04101,04101008X100000,Nonpublic School,St Bridget School,365,0,0,0,1,131,0,0,0,0,0,131,0,1,04101
Winnebago,04,101,04101,04101009X100000,Nonpublic School,St Edward,132,0,0,0,1,45,0,0,0,0,0,45,0,1,04101
Winnebago,04,101,04101,04101010X100000,Nonpublic School,St James School,163,1,0,0,0.9938650306748467,63,0,0,0,0,0,63,0,1,04101
Winnebago,04,101,04101,04101013X060000,Nonpublic School,St Paul Lutheran,103,0,0,0,1,34,0,0,0,0,0,34,0,1,04101
Winnebago,04,101,04101,04101014X100000,Nonpublic School,St Peter Cathedral School,186,0,0,0,1,65,3,0,1,0,0,65,4,0.9420289855072463,04101
Winnebago,04,101,04101,04101020X100000,Nonpublic School,St Rita School,279,0,0,0,1,82,0,0,0,0,0,82,0,1,04101
Winnebago,04,101,04101,04101021X100000,Nonpublic School,St Peters School,83,0,0,0,1,19,0,0,0,0,0,19,0,1,04101
Winnebago,04,101,04101,04101022Z060000,Nonpublic School,Rockford Lutheran School,856,2,0,0,0.9976635514018692,584,6,1,0,0,0,584,7,0.988155668358714,04101
Winnebago,04,101,04101,04101023Z260000,Nonpublic School,Rockford Christian Schools,1180,0,0,0,1,674,17,2,1,0,0,674,20,0.9711815561959655,04101
Winnebago,04,101,04101,04101027X010000,Nonpublic School,Spectrum School,155,0,0,0,1,45,5,1,7,0,0,45,13,0.7758620689655172,04101
Winnebago,04,101,04101,04101030Z200000,Nonpublic School,North Love Christian School,117,0,0,0,1,54,7,0,1,0,0,54,8,0.8709677419354839,04101
Winnebago,04,101,04101,04101032Z140000,Nonpublic School,Christian Life Center School,620,2,0,0,0.996774193548387,321,8,0,0,0,0,321,8,0.9756838905775076,04101
Winnebago,04,101,04101,04101070X160000,Nonpublic School,Montessori Private Academy Inc,141,0,0,0,1,14,0,0,0,0,0,14,0,1,04101
Winnebago,04,101,04101,04101096X060000,Nonpublic School,Alpine Academy,89,0,0,0,1,12,0,0,0,0,0,12,0,1,04101
Winnebago,04,101,04101,041011220220002,Harlem UD 122,Harlem High School,2104,27,16,43,0.9795627376425856,2084,9,4,0,0,7,2084,20,0.9904942965779467,04101
Winnebago,04,101,04101,041011220221005,Harlem UD 122,Harlem Middle School,1084,1,2,3,0.9972324723247233,1081,3,0,0,0,0,1081,3,0.9972324723247232,04101
Winnebago,04,101,04101,041011220222005,Harlem UD 122,Loves Park Elem School,355,3,3,6,0.9830985915492959,51,1,0,0,0,2,51,3,0.9444444444444444,04101
Winnebago,04,101,04101,041011220222006,Harlem UD 122,Maple Elem School,294,2,1,3,0.989795918367347,42,0,0,0,0,2,42,2,0.9545454545454546,04101
Winnebago,04,101,04101,041011220222008,Harlem UD 122,Rock Cut Elem School,356,0,0,0,1,54,0,0,0,0,0,54,0,1,04101
Winnebago,04,101,04101,041011220222010,Harlem UD 122,Ralston Elem School,361,2,0,2,0.9944598337950139,60,0,0,0,0,2,60,2,0.967741935483871,04101
Winnebago,04,101,04101,041011220222011,Harlem UD 122,Windsor Elem School,433,2,2,1,0.9907621247113164,67,1,0,0,0,1,67,2,0.9710144927536232,04101
Winnebago,04,101,04101,041011220222013,Harlem UD 122,Machesney Elem School,454,2,1,3,0.9933920704845816,145,1,0,0,0,0,145,1,0.9931506849315068,04101
Winnebago,04,101,04101,041011220222014,Harlem UD 122,Olson Park Elem School,404,8,0,8,0.9801980198019803,54,3,0,0,0,2,54,5,0.9152542372881356,04101
Winnebago,04,101,04101,041011310041002,Kinnikinnick CCSD 131,Roscoe Middle School,640,0,0,0,1,633,7,0,0,0,0,633,7,0.9890625,04101
Winnebago,04,101,04101,041011330041001,Prairie Hill CCSD 133,Willowbrook Middle School,374,2,0,0,0.9946524064171124,267,3,1,2,0,2,267,8,0.9709090909090909,04101
Winnebago,04,101,04101,041011340042001,Shirland CCSD 134,Shirland C C School,117,1,0,0,0.9914529914529915,37,1,0,0,0,0,37,1,0.9736842105263158,04101
Winnebago,04,101,04101,041011400041001,Rockton SD 140,Stephen Mack Middle School,553,0,0,0,1,551,2,0,0,0,0,551,2,0.9963833634719711,04101
Winnebago,04,101,04101,041012050250001,Rockford SD 205,Auburn High School,1907,5,3,3,0.9958049292081804,1898,3,1,0,2,3,1898,9,0.995280545359203,04101
Winnebago,04,101,04101,041012050250002,Rockford SD 205,Rockford East High School,1962,0,0,0,1,1956,6,0,0,0,0,1956,6,0.9969418960244648,04101
Winnebago,04,101,04101,041012050250003,Rockford SD 205,Guilford High School,1712,4,3,7,0.9959112149532711,1678,10,4,16,2,2,1678,34,0.9801401869158879,04101
Winnebago,04,101,04101,041012050250004,Rockford SD 205,Jefferson High School,1740,6,1,2,0.9959770114942529,1734,0,0,0,0,6,1734,6,0.996551724137931,04101
Winnebago,04,101,04101,041012050251001,Rockford SD 205,West Middle School,933,18,0,0,0.9807073954983924,913,3,1,0,4,12,913,20,0.9785637727759914,04101
Winnebago,04,101,04101,041012050251006,Rockford SD 205,Eisenhower Middle School,766,0,0,0,1,762,2,0,2,0,0,762,4,0.9947780678851175,04101
Winnebago,04,101,04101,041012050251008,Rockford SD 205,Bernard W Flinn Middle School,1009,3,0,3,0.9970267591674926,999,6,2,0,1,1,999,10,0.9900891972249752,04101
Winnebago,04,101,04101,041012050251009,Rockford SD 205,Abraham Lincoln Middle School,693,0,5,4,0.9927849927849929,690,0,0,2,1,0,690,3,0.9956709956709957,04101
Winnebago,04,101,04101,041012050251010,Rockford SD 205,Kennedy Middle School,560,6,0,4,0.9892857142857143,541,0,0,0,14,5,541,19,0.9660714285714286,04101
Winnebago,04,101,04101,041012050252014,Rockford SD 205,Barbour Two-Way Lang Immersion,683,4,2,1,0.9912152269399707,161,0,0,0,0,1,161,1,0.9938271604938271,04101
Winnebago,04,101,04101,04101205025201C,Rockford SD 205,Legacy Acad of Excellence Charter Sch,320,4,2,1,0.9812500000000001,86,0,0,0,0,0,86,0,1,04101
Winnebago,04,101,04101,04101205025202C,Rockford SD 205,Galapagos Rockford Charter Sch,306,0,0,0,1,94,0,0,1,0,0,94,1,0.9894736842105263,04101
Winnebago,04,101,04101,04101205025203C,Rockford SD 205,CICS Jackson,505,0,0,0,1,126,1,0,3,0,0,126,4,0.9692307692307692,04101
Winnebago,04,101,04101,041012050252086,Rockford SD 205,Rockford Envrnmntl Science Acad,1012,16,3,3,0.9812252964426879,982,7,1,3,4,15,982,30,0.9703557312252964,04101
Winnebago,04,101,04101,041012050252087,Rockford SD 205,Thurgood Marshall School,566,0,0,0,1,481,3,0,0,0,0,481,3,0.993801652892562,04101
Winnebago,04,101,04101,041012050253069,Rockford SD 205,Wilson ASPIRE,37,0,0,0,1,37,0,0,0,0,0,37,0,1,04101
Winnebago,04,101,04101,041012050253075,Rockford SD 205,Roosevelt Center,378,3,3,5,0.9841269841269842,375,0,0,0,0,3,375,3,0.9920634920634921,04101
Winnebago,04,101,04101,041012070160001,Hononegah CHD 207,Hononegah High School,2108,32,4,10,0.98292220113852,2066,18,1,0,0,23,2066,42,0.9800759013282733,04101
Winnebago,04,101,04101,041013200260001,County of Winnebago SD 320,South Beloit Sr High School,292,0,1,1,0.9965753424657534,288,2,0,2,0,0,288,4,0.9863013698630136,04101
