County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,Total NC,UndupNCIM,NCPE,Excluded,PolioProtected,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Unnamed: 55,Unnamed: 56,Region,County
Adams,01,001,01001,01-001-1720-22-3004,Early Childhood,646,0,0,0,0,640,0,0,2,4,646,634,0,0,2,10,646,644,0,0,2,0,646,644,0,0,2,0,646,644,0,0,2,0,646,641,0,0,2,3,646,644,0,0,2,0,646,644,0,0,2,0,646,,,01,001
Adams,01,001,01001,01-001-1720-22-3005,Adams Co Juvenile Detention Cntr,11,0,0,0,0,11,0,0,0,0,11,11,0,0,0,0,11,11,0,0,0,0,11,11,0,0,0,0,11,11,0,0,0,0,11,11,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,5,,,01,001
Pike,01,075,01075,01-075-0030-26-0002,Pleasant Hill High School,94,0,0,0,0,94,0,0,0,0,94,93,0,0,0,1,94,94,0,0,0,0,94,94,0,0,0,0,94,94,0,0,0,0,94,94,0,0,0,0,94,0,0,0,0,0,0,27,0,0,0,0,27,,,01,075
Pike,01,075,01075,01-075-0030-26-2001,Pleasant Hill Elem School,224,0,0,0,0,224,0,0,0,0,224,224,0,0,0,0,224,224,0,0,0,0,224,224,0,0,0,0,224,224,0,0,0,0,224,120,0,0,0,0,120,31,0,0,0,0,31,224,0,0,0,0,224,,,01,075
Pike,01,075,01075,01-075-0040-26-0002,Griggsville-Perry High School,100,0,0,0,0,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,0,27,0,0,0,0,27,,,01,075
Pike,01,075,01075,01-075-0040-26-1002,Griggsville-Perry Middle School,142,1,0,1,1,142,0,0,0,0,142,141,0,1,0,0,142,142,0,0,0,0,142,142,0,0,0,0,142,142,0,0,0,0,142,142,0,0,0,0,142,0,0,0,0,0,0,142,0,0,0,0,142,,,01,075
Pike,01,075,01075,01-075-0040-26-2001,Griggsville-Perry Primary School,184,0,0,0,0,184,0,0,0,0,184,183,0,1,0,0,184,184,0,0,0,0,184,184,0,0,0,0,184,184,0,0,0,0,184,43,0,0,0,0,43,43,0,0,0,0,43,184,0,0,0,0,184,,,01,075
Pike,01,075,01075,01-075-0100-26-0009,Pittsfield High School,380,0,0,0,0,376,0,0,4,0,380,372,0,0,4,4,380,376,0,0,4,0,380,376,0,0,4,0,380,376,0,0,4,0,380,376,0,0,4,0,380,0,0,0,0,0,0,100,0,0,2,0,102,,,01,075
Pike,01,075,01075,01-075-0100-26-2007,Pittsfield South Elem School,368,0,0,0,0,358,0,0,0,10,368,358,0,0,0,10,368,358,0,0,0,10,368,358,0,0,0,10,368,368,0,0,0,0,368,81,0,0,0,0,81,81,0,0,0,0,81,368,0,0,0,0,368,,,01,075
Pike,01,075,01075,01-075-0100-26-2010,Pikeland Community School,558,0,0,0,0,556,0,0,2,0,558,556,0,0,2,0,558,556,0,0,2,0,558,556,0,0,2,0,558,556,0,0,2,0,558,359,0,0,2,0,361,0,0,0,0,0,0,556,0,0,2,0,558,,,01,075
