County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,Total NC,UndupNCIM,NCPE,Excluded,PolioProtected,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,TdapProt,TdapNcNp,TdapMedObj,TdapRelObj,TdapApprSchd,TdapTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Region,County
Pike,01,075,01075,01-075-0040-26-1002,Griggsville-Perry Middle School,144,0,0,0,0,144,0,0,0,0,144,143,0,1,0,0,144,34,0,0,0,0,34,144,0,0,0,0,144,144,0,0,0,0,144,144,0,0,0,0,144,144,0,0,0,0,144,0,0,0,0,0,0,144,0,0,0,0,144,01,075
Pike,01,075,01075,01-075-0040-26-2001,Griggsville-Perry Primary School,171,4,3,1,4,168,3,0,0,0,171,168,3,0,0,0,171,0,0,0,0,0,0,168,3,0,0,0,171,168,3,0,0,0,171,168,3,0,0,0,171,41,0,0,0,0,41,41,0,0,0,0,41,171,0,0,0,0,171,01,075
Pike,01,075,01075,01-075-0100-26-0009,Pittsfield High School,356,1,1,0,0,352,0,0,4,0,356,351,1,0,4,0,356,90,0,0,1,6,97,352,0,0,4,0,356,352,0,0,4,0,356,352,0,0,4,0,356,352,0,0,4,0,356,0,0,0,0,0,0,175,0,0,2,0,177,01,075
Pike,01,075,01075,01-075-0100-26-2007,Pittsfield South Elem School,397,0,0,0,0,392,0,1,0,4,397,392,0,1,0,4,397,0,0,0,0,0,0,392,0,1,0,4,397,397,0,0,0,0,397,397,0,0,0,0,397,79,0,0,0,1,80,80,0,0,0,0,80,397,0,0,0,0,397,01,075
Pike,01,075,01075,01-075-0100-26-2010,Pikeland Community School,587,0,0,0,0,585,0,0,2,0,587,585,0,0,2,0,587,90,0,0,2,3,95,585,0,0,2,0,587,585,0,0,2,0,587,585,0,0,2,0,587,389,0,0,2,0,391,0,0,0,0,0,0,585,0,0,2,0,587,01,075
Pike,01,075,01075,01-075-0120-26-0001,Western High School,171,2,1,1,0,171,0,0,0,0,171,170,1,0,0,0,171,43,0,0,0,0,43,171,0,0,0,0,171,171,0,0,0,0,171,171,0,0,0,0,171,171,0,0,0,0,171,0,0,0,0,0,0,89,0,0,0,0,89,01,075
Pike,01,075,01075,01-075-0120-26-1001,Western Jr High School,190,1,0,1,0,190,0,0,0,0,190,189,0,0,0,1,190,50,0,0,0,1,51,190,0,0,0,0,190,190,0,0,0,0,190,190,0,0,0,0,190,190,0,0,0,0,190,50,0,0,0,0,50,190,0,0,0,0,190,01,075
Pike,01,075,01075,01-075-0120-26-2001,Western Barry Elem,285,3,2,1,0,283,2,0,0,0,285,283,2,0,0,0,285,0,0,0,0,0,0,283,2,0,0,0,285,283,2,0,0,0,285,283,2,0,0,0,285,84,0,0,0,0,84,37,0,0,0,0,37,285,0,0,0,0,285,01,075
Alexander,02,002,02002,02-002-0010-22-0001,Cairo Jr/Sr High School,175,3,2,1,0,173,2,0,0,0,175,173,2,0,0,0,175,33,0,0,0,0,33,173,2,0,0,0,175,173,2,0,0,0,175,173,2,0,0,0,175,173,2,0,0,0,175,0,0,0,0,0,0,118,1,0,0,0,119,02,002
Alexander,02,002,02002,02-002-0010-22-2004,Cairo Elementary School,357,9,4,5,7,350,4,0,0,3,357,350,4,0,0,3,357,30,0,0,0,1,31,350,4,0,0,3,357,350,4,0,0,3,357,350,4,0,0,3,357,144,0,0,0,0,144,73,0,0,0,0,73,355,2,0,0,0,357,02,002
