County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Winnebago,04,101,04101,04101005Z010000,Nonpublic School,Keith Country Day School,296,13,0,0,0.9560810810810811,24,0,1,4,0,0,24,5,0.8275862068965517,04101
Winnebago,04,101,04101,04101007X100000,Nonpublic School,St Bernadette,208,0,0,0,1,19,0,0,0,0,0,19,0,1,04101
Winnebago,04,101,04101,04101008X100000,Nonpublic School,St Bridget School,365,0,0,0,1,39,1,0,0,0,0,39,1,0.975,04101
Winnebago,04,101,04101,04101009X100000,Nonpublic School,St Edward,132,0,0,0,1,17,1,0,0,0,0,17,1,0.9444444444444444,04101
Winnebago,04,101,04101,04101010X100000,Nonpublic School,St James School,163,1,0,0,0.9938650306748467,13,0,0,0,0,1,13,1,0.9285714285714286,04101
Winnebago,04,101,04101,04101014X100000,Nonpublic School,St Peter Cathedral School,186,0,0,0,1,14,0,0,0,0,0,14,0,1,04101
Winnebago,04,101,04101,04101020X100000,Nonpublic School,St Rita School,279,0,0,0,1,31,1,0,0,0,0,31,1,0.96875,04101
Winnebago,04,101,04101,04101021X100000,Nonpublic School,St Peters School,83,0,0,0,1,7,0,0,0,0,0,7,0,1,04101
Winnebago,04,101,04101,04101022Z060000,Nonpublic School,Rockford Lutheran School,856,2,0,0,0.9976635514018692,58,0,0,0,0,0,58,0,1,04101
Winnebago,04,101,04101,04101023Z260000,Nonpublic School,Rockford Christian Schools,1180,0,0,0,1,84,4,0,0,0,0,84,4,0.9545454545454546,04101
Winnebago,04,101,04101,04101027X010000,Nonpublic School,Spectrum School,155,0,0,0,1,19,0,0,1,0,0,19,1,0.95,04101
Winnebago,04,101,04101,04101032Z140000,Nonpublic School,Christian Life Center School,620,2,0,0,0.996774193548387,86,3,0,0,0,1,86,4,0.9555555555555556,04101
Winnebago,04,101,04101,04101070X160000,Nonpublic School,Montessori Private Academy Inc,141,0,0,0,1,61,0,0,0,0,0,61,0,1,04101
Winnebago,04,101,04101,04101096X060000,Nonpublic School,Alpine Academy,89,0,0,0,1,10,0,0,0,0,0,10,0,1,04101
Winnebago,04,101,04101,041011220222015,Harlem UD 122,Donald C Parker Early Educ Center,590,13,5,10,0.9694915254237289,119,0,0,0,0,1,119,1,0.9916666666666667,04101
Winnebago,04,101,04101,041011310042002,Kinnikinnick CCSD 131,Ledgewood Elem School,403,0,0,0,1,53,1,0,0,0,0,53,1,0.9814814814814815,04101
Winnebago,04,101,04101,041011330042001,Prairie Hill CCSD 133,Prairie Hill Elem School,375,0,0,0,1,25,0,0,0,0,0,25,0,1,04101
Winnebago,04,101,04101,041011400042001,Rockton SD 140,Rockton Elem School,478,0,0,0,1,55,0,0,0,0,0,55,0,1,04101
Winnebago,04,101,04101,041012050252016,Rockford SD 205,Beyer Elem School,385,0,0,0,1,118,0,0,0,0,0,118,0,1,04101
Winnebago,04,101,04101,041012050252034,Rockford SD 205,Haskell Academy,313,0,0,0,1,51,1,0,1,1,0,51,3,0.9444444444444444,04101
Winnebago,04,101,04101,041012050252051,Rockford SD 205,Riverdahl Elem School,593,5,0,5,0.9915682967959528,159,0,0,0,0,1,159,1,0.99375,04101
Winnebago,04,101,04101,041012050252054,Rockford SD 205,Rolling Green,778,3,4,5,0.9910025706940875,226,1,0,5,3,2,226,11,0.9535864978902954,04101
Winnebago,04,101,04101,041012050252064,Rockford SD 205,West View Elem School,358,2,1,1,0.9916201117318436,65,0,0,0,0,1,65,1,0.9848484848484849,04101
Winnebago,04,101,04101,041012050252067,Rockford SD 205,White Swan Elem School,314,0,0,0,1,116,1,0,0,0,0,116,1,0.9914529914529915,04101
Winnebago,04,101,04101,041012050252082,Rockford SD 205,Marsh Elementary School,425,3,0,2,0.9929411764705883,71,0,0,0,0,1,71,1,0.9861111111111112,04101
Winnebago,04,101,04101,041012050252085,Rockford SD 205,Montessori Elementary School,320,0,0,0,1,68,1,0,0,0,0,68,1,0.9855072463768116,04101
Winnebago,04,101,04101,041012050253001,Rockford SD 205,Dennis Early Childhood Center,225,1,0,1,0.9955555555555556,216,1,1,3,3,1,216,9,0.96,04101
Winnebago,04,101,04101,041012050253073,Rockford SD 205,Fairview Center,537,2,2,4,0.9925512104283054,531,4,0,1,0,1,531,6,0.9888268156424581,04101
Winnebago,04,101,04101,041012050253078,Rockford SD 205,Summerdale Early Childhood Center,334,2,1,2,0.9910179640718564,331,1,0,0,0,2,331,3,0.9910179640718563,04101
Winnebago,04,101,04101,041013200262003,County of Winnebago SD 320,Clark Elementary School,230,1,4,2,0.9782608695652174,74,0,0,0,0,0,74,0,1,04101
Winnebago,04,101,04101,041013210262002,Pecatonica CUSD 321,Pecatonica Elem School,343,0,0,0,1,5,0,0,0,0,0,5,0,1,04101
Winnebago,04,101,04101,041013220262001,Durand CUSD 322,Durand Elem School,307,1,0,0,0.9967426710097721,29,0,0,0,0,0,29,0,1,04101
