County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,TotalNC,unduplCount,NCPE,Excluded,polioProtected,polioNcNp,polioMedObj,PolioRelObj,polioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Region,County
McLean,17,064,17064,17-064-011P-00-3101,YWCA McLean County,32.0,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,17,064
DuPage,19,022,19022,19-022-048P-00-3101,Childtime Learning Center,40.0,0,0,0,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,19,022
DuPage,19,022,19022,19-022-053P-00-3101,Tutor Time Learning Center,39.0,2,2,0,0,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,38,1,0,0,0,39,37,2,0,0,0,39,38,0,1,0,0,39,19,022
Wayne,20,096,20096,20-096-009P-00-3101,Wayne City Early Learning Center,58.0,0,0,0,0,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,20,096
Wayne,20,096,20096,20-096-009P-00-3103,Kiddie Kollege of Fairfield Inc,34.0,0,0,0,0,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,20,096
White,20,097,20097,20-097-011P-00-3101,Stairstep Learning and Daycare,19.0,0,0,0,0,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,18,0,1,0,0,19,20,097
Franklin,21,028,21028,21-028-017P-00-3101,Kids Country,40.0,0,0,0,1,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,21,028
Williamson,21,100,21100,21-100-015P-00-3101,Malone Day Care,37.0,0,0,0,0,36,0,1,0,0,37,36,0,1,0,0,37,35,0,2,0,0,37,35,0,2,0,0,37,35,0,2,0,0,37,36,0,1,0,0,37,36,0,1,0,0,37,36,0,1,0,0,37,21,100
Williamson,21,100,21100,21-100-023P-00-3101,Small World CDC Inc,36.0,11,0,11,0,25,0,0,0,11,36,24,0,0,0,12,36,26,0,0,0,10,36,26,0,0,0,10,36,26,0,0,0,10,36,26,0,0,0,10,36,17,0,0,0,19,36,27,0,0,0,9,36,21,100
Jefferson,25,041,25041,25-041-016P-00-3101,Bumblebee Child Care Center,36.0,1,1,0,0,35,1,0,0,0,36,35,1,0,0,0,36,34,1,1,0,0,36,34,1,1,0,0,36,34,1,1,0,0,36,35,1,0,0,0,36,35,1,0,0,0,36,30,1,5,0,0,36,25,041
Kankakee,32,046,32046,32-046-031P-00-3101,Lasting Impressions Visions,40.0,3,3,0,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,39,0,0,0,1,40,40,0,0,0,0,40,37,3,0,0,0,40,32,046
Lake,34,049,34049,34-049-014P-00-3101,Cherished Children Early Learning,17.0,0,0,0,0,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,34,049
Lake,34,049,34049,34-049-031P-00-3101,Busy Bee Child Development Ctr,68.0,12,11,1,0,67,0,0,0,1,68,67,0,0,0,1,68,60,7,0,0,1,68,60,7,0,0,1,68,60,7,0,0,1,68,64,3,0,0,1,68,67,0,0,0,1,68,59,8,0,0,1,68,34,049
Lake,34,049,34049,34-049-034P-00-3101,Highland Pk Com Nur Sch and DC,40.0,2,2,0,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,38,2,0,0,0,40,39,1,0,0,0,40,39,0,0,0,1,40,34,049
Lake,34,049,34049,34-049-080P-00-3101,AAUW Nursery School,35.0,7,7,0,0,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,28,7,0,0,0,35,34,1,0,0,0,35,34,049
Madison,41,057,41057,41-057-046P-00-3101,Step by Step Brighton,38.0,11,11,0,0,38,0,0,0,0,38,35,3,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,33,5,0,0,0,38,28,10,0,0,0,38,38,0,0,0,0,38,41,057
Madison,41,057,41057,41-057-054P-00-3101,Troy Early Childhood Ctr,26.0,0,0,0,0,26,0,0,0,0,26,26,0,0,0,0,26,26,0,0,0,0,26,26,0,0,0,0,26,26,0,0,0,0,26,26,0,0,0,0,26,26,0,0,0,0,26,26,0,0,0,0,26,41,057
Madison,41,057,41057,41-057-054P-00-3102,Troy Early Childhood Ctr Too,40.0,0,0,0,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,38,0,0,0,2,40,41,057
Madison,41,057,41057,41-057-065P-00-3101,Early Explorations Too Inc,6.0,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,6,41,057
Monroe,45,067,45067,45-067-006P-00-3101,Lighthouse Learning Center,40.0,0,0,0,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,45,067
Monroe,45,067,45067,45-067-006P-00-3102,Lighthouse Learning Center,39.0,0,0,0,0,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,45,067
Morgan,46,069,46069,46-069-014P-00-3101,Educational Day Care Ctr,39.0,0,0,0,0,39,0,0,0,0,39,39,0,0,0,0,39,38,0,1,0,0,39,38,0,1,0,0,39,38,0,1,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,38,0,1,0,0,39,46,069
Morgan,46,069,46069,46-069-015P-00-3101,Our Redeemer Day Care,40.0,3,0,3,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,39,0,0,0,1,40,40,0,0,0,0,40,39,0,0,0,1,40,46,069
Lee,47,052,47052,47-052-009P-00-3101,Open Sesame,20.0,1,1,0,0,18,0,0,0,2,20,18,0,0,0,2,20,18,0,0,0,2,20,18,0,0,0,2,20,18,0,0,0,2,20,18,0,0,0,2,20,18,0,0,0,2,20,17,1,0,0,2,20,47,052
Peoria,48,072,48072,48-072-005P-00-3101,Jesu Childrens Enrichment Center,29.0,0,0,0,0,29,0,0,0,0,29,29,0,0,0,0,29,29,0,0,0,0,29,29,0,0,0,0,29,29,0,0,0,0,29,29,0,0,0,0,29,29,0,0,0,0,29,29,0,0,0,0,29,48,072
St. Clair,50,082,50082,50-082-022P-00-3101,Family Development Center,40.0,0,0,0,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,38,0,2,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,50,082
